	Sz	hEndo	hPeric	hMgl	hOPC	hRgl2c	hRgl2b	hRgl2a	hRgl3	hRgl1	hProgM	hProgBP	hProgFPL	hProgFPM	hNProg	hNbM	hNbML1	hRN	hNbML5	hDA0	hDA1	hDA2	hNbGaba	hGaba	hSert	hOMTN
CLU	0.5172	0.527	0.4245	0.4033	0.7184	1.7773	1.8959	5.3661	7.7284	2.8709	0.8385	0.9457	0.5244	0.5434	0.3823	0.2557	0.2901	0.2645	0.2391	0.2539	0.3405	0.2803	0.31	0.2238	0.6704	0.4816
CLUAP1	0.3685	0.2521	0.2603	0.2424	0.3074	0.2714	0.3153	0.51	0.5727	0.3576	0.3711	0.2869	0.3221	0.3151	0.1715	0.2348	0.2436	0.2447	0.2494	0.3345	0.4014	0.3082	0.1997	0.1732	0.4255	0.306
CLUH	0.0137	0.1407	0.0464	0.0557	0.0841	0.0978	0.0567	0.0908	0.109	0.111	0.0634	0.0489	0.031	0.0904	0.0171	0.0447	0.0813	0.0656	0.0556	0.0533	0.0698	0.1108	0.1903	0.0932	0.2817	0.0842
CLUHP3_p1	0.0308	0.0527	0.0458	0.1034	0.0439	0.079	0.0616	0.0511	0.1176	0.1509	0.0502	0.0321	0.084	0.0702	0.0331	0.0919	0.069	0.0542	0.0443	0.0673	0.131	0.0344	0.1414	0.0583	0.4413	0.066
CLUL1	0.0586	0.3501	0.085	0.2489	0.2022	0.24	0.1281	0.2667	0.1798	0.3726	0.2354	0.1001	0.4507	0.2188	0.1816	0.3019	0.688	0.5454	0.7515	0.5084	0.3834	0.3375	0.4752	0.1401	0.3152	0.8118
CLVS1	0.0082	0.0179	0.0303	0.0413	0.0324	0.068	0.0159	0.0456	0.0453	0.0556	0.0182	0.0261	0.0223	0.0558	0.2868	0.399	0.0647	0.1437	0.1451	0.1511	0.3361	0.1157	0.1835	0.2045	0.3622	0.2555
CLVS2	0.107	0.0884	0.0773	0.0937	0.0981	0.117	0.2145	0.2045	0.1683	0.1015	0.0696	0.1085	0.1992	0.0817	0.0979	0.2539	0.2927	0.3277	0.0805	0.3724	0.3153	0.2001	0.4385	0.4272	0.4374	0.2884
CLYBL	0.4255	0.8902	0.6542	0.644	1.6938	1.2143	0.6584	0.9283	0.8163	0.8592	0.6842	0.5241	1.1946	1.2384	0.3574	0.4023	0.6833	0.4896	0.4532	0.4289	0.574	0.4949	0.5575	0.6666	0.7781	0.4881
CMAS	0.2614	0.1946	0.1827	0.1782	0.1861	0.1844	0.1524	0.1959	0.2609	0.1938	0.1891	0.1778	0.3157	0.1683	0.1385	0.3662	0.2696	0.2229	0.1786	0.1414	0.3136	0.2755	0.1993	0.1808	0.7015	0.2626
CMBL	0.0322	0.0457	0.0385	0.1326	0.3357	0.289	0.0739	0.245	0.188	0.3353	0.1119	0.1471	0.1412	0.0995	0.0313	0.0351	0.0837	0.0667	0.0851	0.0503	0.0497	0.0758	0.1632	0.0508	0.1585	0.0799
CMC1	0.1913	0.1959	0.2188	0.1992	0.3504	0.4463	0.1249	0.217	0.3205	0.1771	0.2294	0.2185	0.2732	0.2706	0.1315	0.1502	0.1064	0.1605	0.1053	0.1232	0.1344	0.1181	0.1214	0.0905	0.2246	0.2296
CMC2	1.2249	0.8275	0.8148	0.7131	1.2722	1.2184	0.6366	0.7898	1.0016	0.7593	1.1476	0.9308	1.1886	1.138	0.5477	0.567	0.6744	0.6206	0.559	0.4297	0.785	0.5912	0.5817	0.4615	2.031	1.0532
CMC4	0.0301	0.1364	0.0587	0.1947	0.0509	0.2126	0.1193	0.1201	0.2043	0.1928	0.0876	0.0574	0.1379	0.0291	0.0237	0.0605	0.0544	0.063	0.1175	0.034	0.0677	0.0413	0.1007	0.0684	0.0977	0.0962
CMIP	0.3826	0.384	0.2453	0.3062	0.2437	0.3311	0.3411	0.3931	0.6605	0.3419	0.2751	0.2792	0.3086	0.2011	0.229	0.5378	0.7234	0.5999	0.6583	0.3917	0.9232	0.9386	1.6026	1.2523	1.2057	0.7737
CMKLR1	0.0269	0.5002	2.1023	2.8821	0.1934	0.2051	0.1084	0.2075	0.5129	0.17	0.1211	0.0729	0.1545	0.1021	0.0846	0.1002	0.2897	0.1684	0.1436	0.139	0.1843	0.1711	0.232	0.129	0.2853	0.0975
CMPK1	0.884	0.6989	0.7077	0.4973	0.554	1.0299	0.4519	0.6014	0.6608	0.5246	0.509	0.4358	0.702	0.4269	0.374	0.5589	0.4502	0.4239	0.4678	0.4497	0.7062	0.4094	0.6924	0.516	1.373	0.6384
CMPK2	0.212	0.3323	0.4132	0.403	0.3479	0.3729	0.2146	0.2414	0.6285	0.6875	0.4074	0.257	0.8486	0.6411	0.4061	0.4794	0.2622	0.4525	0.6867	0.4195	0.3236	0.4745	0.5941	0.5311	0.8922	0.2422
CMSS1	0.4621	0.3161	0.3252	0.3667	0.3251	0.5638	0.2612	0.3217	0.4142	0.6577	0.5321	0.5231	0.8732	0.587	0.3433	0.3111	0.3122	0.2603	0.2306	0.1975	0.3951	0.2575	0.2538	0.1873	0.6415	0.6665
CMTM3	0.1251	0.4889	0.4454	0.364	0.2601	0.1459	0.1846	0.2746	0.2781	0.1917	0.1404	0.1716	0.247	0.1385	0.0686	0.0696	0.1035	0.0816	0.0807	0.0609	0.0944	0.0789	0.0891	0.0694	0.1496	0.1053
CMTM4	0.0591	0.083	0.106	0.0728	0.2938	0.182	0.251	0.248	0.669	0.2113	0.1013	0.0632	0.0585	0.043	0.0378	0.0842	0.0642	0.1207	0.1612	0.1017	0.2058	0.0977	0.3548	0.0385	0.2259	0.1375
CMTM5	0.0418	0.3567	0.5289	0.3298	1.2233	0.288	1.7805	2.1537	0.7525	0.246	0.1816	0.1293	0.2313	0.1591	0.1402	0.1453	0.2183	0.2299	0.2171	0.2053	0.6037	0.2492	0.307	0.1921	0.3687	0.1642
CMTM6	0.5232	0.4228	0.8751	0.9911	0.6781	0.5282	0.419	0.6804	0.8472	0.767	0.4991	0.4781	0.9079	0.4075	0.3512	0.2692	0.3025	0.2643	0.3446	0.2475	0.3417	0.2469	0.2844	0.2302	0.4622	0.3474
CMTM7	0.0065	0.1061	0.0248	0.2954	0.0928	0.0507	0.0386	0.0161	0.029	0.0709	0.2796	0.0522	0.2137	0.0577	0.0796	0.0328	0.0537	0.032	0.0307	0.0283	0.0386	0.0336	0.0555	0.0236	0.0795	0.0305
CMTM8	0.0122	0.1238	0.0623	0.0627	0.0443	0.048	0.0224	0.0311	0.6216	0.1177	0.6733	0.0377	0.2762	0.1194	0.0446	0.0703	0.0301	0.0357	0.0298	0.0298	0.0387	0.0351	0.0516	0.048	0.0821	0.0436
CMTR1	0.0665	0.0656	0.0821	0.1474	0.1727	0.158	0.0939	0.1114	0.1792	0.1208	0.1519	0.1015	0.2141	0.081	0.062	0.0612	0.0761	0.0518	0.0804	0.046	0.091	0.0538	0.088	0.1431	0.2035	0.1229
CMTR2	0.1458	0.1988	0.1189	0.3705	0.116	0.157	0.1535	0.2037	0.1532	0.2484	0.1539	0.1954	0.2852	0.1056	0.1016	0.1745	0.1765	0.148	0.1094	0.1384	0.1555	0.1143	0.1272	0.077	0.206	0.1448
CMYA5	0.0702	0.3382	0.3848	0.2532	0.9741	0.2245	0.3353	0.1654	0.2853	0.5495	0.2267	0.3153	0.1677	0.2139	0.2407	0.1789	0.2891	0.1626	0.1489	0.2882	0.1933	0.1753	0.4968	0.5545	0.3038	0.3549
CNBD2	0.3124	0.806	7.0396	0.7568	0.7813	2.4414	0.6536	0.6242	0.8319	0.7988	0.7374	0.6102	0.8058	0.6959	0.5731	0.6278	0.7	0.7239	0.6792	0.6376	0.7588	0.7352	0.7607	1.6205	0.9853	0.6928
CNBP	3.4887	3.0618	2.6084	1.9744	1.9871	2.2612	2.1223	2.977	2.5264	2.3057	3.1053	3.131	4.1823	2.8201	1.9822	1.7147	1.6852	1.5238	1.3631	1.183	1.9991	1.5563	1.4946	1.263	2.6471	2.2629
CNDP2	0.5192	0.5726	0.3074	1.0131	0.3299	0.3928	0.3023	0.4994	0.5126	0.3985	0.3906	0.3667	0.5012	0.2509	0.3118	0.2532	0.3589	0.2484	0.2766	0.263	0.3672	0.2675	0.2813	0.2244	0.4922	0.4141
CNEP1R1	0.127	0.1269	0.1009	0.1162	0.2534	0.1483	0.0872	0.1746	0.1401	0.2475	0.1473	0.0847	0.11	0.1325	0.0655	0.0823	0.0987	0.1352	0.1053	0.0957	0.1121	0.1767	0.1379	0.0719	0.2105	0.1644
CNFN	0.0061	0.076	0.0237	0.1297	0.0402	0.0444	0.0173	0.0377	0.0273	0.0681	0.1173	0.1807	0.2291	0.1772	0.0776	0.03	0.0229	0.0301	0.056	0.0252	0.0314	0.0339	0.0507	0.0216	0.0745	0.0911
CNGA1	0.3999	0.9095	1.2745	0.9356	0.8339	0.928	0.7657	0.7058	2.0844	0.8971	0.8098	0.7129	0.9023	1.8423	0.6862	0.7492	0.8514	0.8072	0.749	0.7495	0.903	0.84	0.8121	2.0087	1.0515	1.6877
CNGA3	0.0072	0.0168	0.0188	0.0478	0.0316	0.0342	0.0172	0.0916	0.1713	0.2767	0.047	0.0837	0.0855	0.0588	0.0956	0.083	0.2133	0.0526	0.0225	0.0968	0.0281	0.0526	0.1327	0.0199	0.0653	0.1075
CNGB1	0.0085	0.0629	0.0787	0.0573	0.0433	0.0469	0.059	0.0233	0.0543	0.0702	0.0431	0.0253	0.0271	0.0204	0.0458	0.0672	0.0549	0.0725	0.4472	0.2479	0.0361	0.072	0.3481	0.1097	0.4598	0.1353
CNIH1	0.8649	1.0303	0.7809	0.5574	0.7946	0.5543	0.4478	0.7394	0.7342	0.8745	0.6809	0.5308	0.7432	0.4611	0.5188	0.5383	0.5484	0.5531	0.4132	0.3366	0.5127	0.4389	0.4996	0.3327	1.1323	0.9615
CNIH2	0.1608	0.1254	0.0971	0.1159	0.2818	0.2596	0.1071	0.1431	0.2909	0.1605	0.1263	0.0983	0.1283	0.1049	0.0785	0.1814	0.224	0.2206	0.211	0.1455	0.3689	0.3993	0.2849	0.2321	0.9217	0.1974
CNIH3	0.6494	1.6435	0.6948	0.787	1.1316	1.1175	0.532	0.7648	0.7457	0.6939	0.607	0.5903	0.9748	0.6714	0.569	0.6889	0.5868	0.5756	0.7328	0.8588	0.9137	0.6143	1.8557	0.7881	1.3336	0.9009
CNIH4	0.7196	0.76	0.475	0.5668	0.5225	0.8402	0.3875	0.5411	0.5238	0.4683	0.5059	0.6394	0.9134	0.4348	0.45	0.3462	0.4101	0.3707	0.3329	0.2855	0.4315	0.3614	0.355	0.2755	0.5905	0.5129
CNKSR1	0.3882	0.5266	0.4776	0.6396	1.8493	0.6445	0.9418	1.0866	0.5787	0.5837	1.0884	0.7631	0.6005	0.4294	0.7656	0.5649	0.4974	0.9798	0.4981	0.4273	0.5985	0.5216	1.2302	0.7294	0.7999	0.8945
CNKSR2	0.0437	0.0664	0.0893	0.1571	0.1856	0.207	0.204	0.1217	0.1176	0.114	0.0429	0.0464	0.0592	0.0768	0.0356	0.0965	0.2046	0.2577	0.1431	0.0929	0.1752	0.1953	0.1775	0.1576	0.2873	0.2401
CNKSR3	0.0331	0.2149	0.071	0.2123	0.3388	0.1691	0.1033	0.0561	0.0644	0.1137	0.1588	0.1935	0.093	0.1566	0.1002	0.0582	0.0569	0.1114	0.0546	0.056	0.1287	0.0694	0.0976	0.0835	0.1353	0.0995
CNN1	0.5726	0.9674	1.1198	0.9787	1.0348	2.2284	0.8012	0.8501	0.9995	1.9763	4.1154	0.7841	1.0344	0.8126	0.8008	0.8039	0.8887	0.8467	0.8052	0.7883	2.1205	0.8767	0.9066	0.7521	1.2553	0.9357
CNN2	0.1017	0.7119	0.2373	0.418	0.1818	0.2399	0.1359	0.3535	0.1257	0.2496	0.2404	0.1736	0.35	0.3143	0.0718	0.0665	0.0619	0.0991	0.065	0.0732	0.0851	0.0652	0.0898	0.0829	0.1197	0.1226
CNN3	2.2699	2.2454	1.8808	1.225	1.3789	2.3249	1.9631	3.1006	1.9669	3.2779	1.5059	1.9616	2.7545	1.715	1.1233	1.1154	1.0957	1.0174	0.9114	0.8257	1.3109	1.0084	1.0512	0.843	1.7081	1.4438
CNNM1	0.0121	0.0211	0.0467	0.0529	0.1145	0.0399	0.0271	0.0374	0.1819	0.1788	0.0716	0.0392	0.0712	0.0264	0.0464	0.0389	0.0821	0.081	0.0967	0.0656	0.0926	0.0631	0.1491	0.054	0.2293	0.0334
CNNM2	0.009	0.0584	0.0473	0.0466	0.0315	0.0367	0.0158	0.0275	0.0421	0.0537	0.0492	0.0254	0.0235	0.0557	0.0217	0.0237	0.0804	0.0228	0.0739	0.0214	0.0855	0.0869	0.1357	0.1207	0.1987	0.0566
CNNM3	0.1716	0.1329	0.1157	0.1464	0.1716	0.1476	0.1212	0.1889	0.2408	0.1862	0.1264	0.0951	0.31	0.1449	0.105	0.1102	0.1035	0.1274	0.1113	0.1024	0.2511	0.0932	0.2962	0.0841	0.2399	0.1451
CNNM4	0.0308	0.0494	0.129	0.2289	0.1006	0.2125	0.0934	0.0426	0.0665	0.0522	0.0377	0.0378	0.0648	0.0554	0.0376	0.0626	0.0591	0.052	0.1172	0.1161	0.1226	0.0917	0.0509	0.1202	0.1295	0.1103
CNOT1	0.602	0.5167	0.3603	0.4101	0.4407	0.6888	0.4911	0.4431	0.4213	0.4597	0.6121	0.4793	0.7107	0.6989	0.3539	0.3798	0.502	0.2811	0.304	0.2324	0.465	0.3098	0.3061	0.2604	0.519	0.4343
CNOT10	0.1551	0.1249	0.1791	0.2376	0.2683	0.1425	0.1648	0.2753	0.1958	0.2438	0.3548	0.1488	0.2148	0.2611	0.1345	0.1055	0.1447	0.1418	0.134	0.0839	0.129	0.1049	0.1245	0.1952	0.2298	0.1444
CNOT11	0.1987	0.2625	0.1504	0.1804	0.232	0.2337	0.1821	0.1543	0.1892	0.194	0.2494	0.2299	0.3027	0.1294	0.1061	0.1089	0.1522	0.133	0.1061	0.0887	0.1943	0.1251	0.1147	0.1095	0.2847	0.1803
CNOT2	0.875	0.8379	0.731	0.5981	0.6214	0.6516	0.4379	0.5919	0.901	0.8827	0.6163	0.5321	0.9637	0.6563	0.5744	0.5939	0.4783	0.4448	0.3647	0.7889	0.5641	0.4843	0.4436	0.3809	0.7165	0.8442
CNOT3	0.0295	0.0494	0.058	0.0502	0.0563	0.0963	0.1002	0.0674	0.0992	0.1142	0.0449	0.0653	0.0547	0.058	0.0584	0.0517	0.0369	0.0302	0.0585	0.0853	0.0909	0.0709	0.0418	0.0357	0.1041	0.0454
CNOT4	0.5721	0.4314	0.3487	0.3571	0.3711	0.5058	0.3596	0.416	0.4169	0.405	0.3735	0.3934	0.5643	0.2966	0.3225	0.4011	0.3455	0.3919	0.4411	0.2644	0.5688	0.3421	0.3358	0.4104	0.6436	0.6118
CNOT6	0.4815	0.3452	0.3044	0.3371	0.3853	0.3376	0.2717	0.3332	0.411	0.3204	0.356	0.328	0.4941	0.281	0.2599	0.5442	0.349	0.4119	0.4552	0.2277	0.5389	0.253	0.275	0.268	0.4069	0.3617
CNOT6L	0.5583	0.8196	0.3634	0.389	0.5738	0.377	0.3218	0.4415	0.4364	0.3649	0.3348	0.2727	0.4415	0.3015	0.2398	0.3257	0.4046	0.4095	0.3873	0.3401	0.392	0.3229	0.7138	0.714	0.547	0.3978
CNOT7	0.9336	0.6541	0.5315	0.5401	0.5471	0.6372	0.5015	0.6181	0.7492	0.6148	0.7624	0.6098	0.9839	0.7293	0.478	0.5413	0.7233	0.5732	0.3987	0.4635	0.6097	0.5039	0.4345	0.4119	0.8787	0.6345
CNOT8	0.4631	0.5127	0.2726	0.3122	0.3082	0.3679	0.2302	0.3596	0.3604	0.3127	0.3618	0.2685	0.7647	0.2525	0.2948	0.3299	0.3496	0.273	0.2518	0.2128	0.3942	0.3055	0.3048	0.3095	0.5138	0.4062
CNP	0.5964	0.5872	0.5254	0.4354	0.6005	0.7188	0.4423	0.8252	0.6851	0.4307	0.3336	0.4453	0.437	0.3082	0.2458	0.2923	0.3096	0.2761	0.2613	0.2866	0.3814	0.3	0.4623	0.2707	0.502	0.4071
CNPPD1	0.3383	0.2623	0.2107	0.3288	0.2844	0.2372	0.1797	0.2836	0.4355	0.2849	0.2562	0.1979	0.284	0.1938	0.1438	0.2904	0.3497	0.1947	0.175	0.2414	0.2492	0.5164	0.2269	0.305	1.1443	0.4205
CNPY1	0.4635	0.3262	0.2737	0.3395	0.3384	0.5783	0.5984	0.7928	0.5215	1.1215	1.836	1.4114	2.3741	1.9709	0.5518	0.2658	0.4751	0.2829	0.2966	0.3751	0.7103	0.2513	0.2872	0.263	0.4854	0.7197
CNPY2	0.6875	0.5302	0.4608	0.392	0.9953	0.6617	0.4322	0.5605	0.6201	0.4489	0.4392	0.3734	0.608	0.3667	0.3001	0.4609	0.5305	0.3269	0.3267	0.3003	0.6053	0.3517	0.3788	0.2803	0.7934	0.6868
CNPY3	0.2333	0.3122	0.2845	0.8021	0.4386	0.3304	0.2578	0.1919	0.2802	0.2069	0.2452	0.1974	0.3005	0.2351	0.1525	0.1216	0.2083	0.117	0.1094	0.1073	0.1819	0.1283	0.1362	0.1293	0.301	0.1833
CNPY4	0.1352	0.1736	0.2119	0.1453	0.1121	0.3294	0.1503	0.3103	0.6378	0.3704	0.187	0.0938	0.1383	0.2052	0.0734	0.0804	0.1476	0.1029	0.0849	0.0712	0.1016	0.1667	0.1225	0.0878	0.2693	0.2093
CNR1	0.1974	0.1581	0.1293	0.2315	0.2291	0.4523	0.317	0.6324	0.5402	0.367	0.2089	0.1665	0.1871	0.1284	0.2734	1.0157	1.2223	1.1919	0.808	0.2352	0.6839	0.5522	0.7139	0.9598	0.3901	0.3656
CNRIP1	0.283	0.2734	0.2287	0.1878	0.2894	0.3956	0.1878	0.2838	0.3457	0.201	0.168	0.1571	0.2238	0.1395	0.1427	0.2478	0.245	0.1924	0.257	0.2752	0.4262	0.4897	0.3447	0.2143	0.7982	0.4454
CNST	0.2056	0.37	0.1499	0.1635	0.2113	0.1493	0.1076	0.1521	0.273	0.2129	0.147	0.1555	0.2074	0.1359	0.1182	0.2877	0.1662	0.1836	0.1747	0.3352	0.3164	0.3424	0.2287	0.187	0.5974	0.9136
CNTD1	0.2041	0.7444	0.4602	0.9723	1.149	0.4181	0.4206	0.54	0.397	1.5829	0.2902	0.523	0.3706	0.2625	0.5813	0.2585	0.3071	0.6265	0.5781	0.5554	0.3997	0.3687	0.8462	0.4665	1.0564	0.381
CNTD2	0.9701	1.301	1.5024	1.3309	1.2723	1.3078	1.6551	2.5337	1.4167	1.3401	1.178	1.0212	1.3243	1.0373	0.9919	1.0622	1.1954	1.0726	1.0347	0.9819	2.5093	1.1597	1.1645	0.9633	1.6081	1.8045
CNTF	1.4046	1.5569	1.2901	1.6129	1.5414	2.7463	1.863	2.285	2.4744	1.5514	1.42	1.2621	2.5017	1.2732	1.1125	1.2394	1.3455	1.3301	1.2021	1.1496	1.6068	1.3533	1.4063	1.1727	1.9455	1.5475
CNTFR	0.1063	0.1537	0.0777	0.0935	0.1544	0.221	0.2473	0.4914	0.1031	0.1149	0.0948	0.1834	0.2561	0.1066	0.0706	0.1145	0.0843	0.1529	0.1103	0.0539	0.2207	0.1215	0.1034	0.0571	0.2902	0.2683
CNTLN	0.1736	0.1847	0.1232	0.4295	0.155	0.3878	0.3409	0.3206	0.3225	0.2199	0.2499	0.2723	0.4558	0.2107	0.2069	0.1129	0.1067	0.1121	0.1127	0.1638	0.2686	0.1754	0.1664	0.2268	0.3687	0.1401
CNTN1	0.151	0.1337	0.2944	0.1546	2.8609	0.4258	0.1155	0.2341	0.264	0.5269	0.1108	0.0916	0.1405	0.1137	0.1169	0.1215	0.2262	0.1386	0.3184	0.801	1.3256	1.5688	0.4998	0.9754	3.2462	0.7774
CNTN2	0.0908	0.0882	0.061	0.0952	0.1604	0.0932	0.0813	0.1184	0.1028	0.1559	0.127	0.1637	0.204	0.2487	0.3175	1.7774	0.7481	0.3606	0.2939	0.3015	0.3561	0.2414	0.392	0.2955	0.3938	1.0172
CNTN3	0.0197	0.1162	0.0681	0.0661	0.2902	0.1679	0.0283	0.0962	0.099	0.0774	0.0538	0.2363	0.1246	0.0612	0.0534	0.0999	0.0617	0.2085	0.1485	0.1116	0.1213	0.0405	0.1309	0.1928	0.0904	0.0514
CNTN4	0.082	0.0714	0.062	0.1149	0.0923	0.1501	0.2039	0.1672	0.9686	0.1453	0.7249	0.151	0.7062	0.2265	0.0894	0.0975	0.217	0.3408	0.1761	0.0914	0.2814	0.2847	0.3643	0.3578	0.7877	0.6195
CNTN5	0.0989	0.2762	0.2809	0.4198	0.3928	0.3999	0.239	0.2839	0.3098	0.3643	0.2806	0.2194	0.3377	0.2746	0.4083	0.2574	0.6775	0.3331	1.1966	0.284	1.3576	2.226	1.9373	2.1698	1.255	1.2541
CNTN6	0.0346	0.0453	0.1306	0.1173	0.0499	0.0542	0.039	0.0794	0.1212	0.0909	0.4287	0.1278	0.3637	0.4534	0.0881	0.0272	0.0854	0.0547	0.0467	0.0496	0.0664	0.1203	0.1358	0.03	0.1879	0.1688
CNTNAP1	0.0064	0.0234	0.1087	0.0391	0.1066	0.066	0.0549	0.027	0.0384	0.025	0.0495	0.0181	0.0203	0.0149	0.0201	0.0479	0.059	0.022	0.019	0.0898	0.1371	0.1196	0.0766	0.1179	0.4386	0.1548
CNTNAP2	0.1765	0.1403	0.1094	0.1328	0.1833	0.1379	0.1112	0.1639	0.1862	0.1546	0.1649	0.1472	0.2356	0.1113	0.0997	0.2933	0.3587	0.2498	0.538	0.3429	0.5046	0.5054	0.6152	0.5516	0.6016	0.6488
CNTNAP3	0.9877	1.1744	0.9556	1.1726	1.1393	1.226	0.9147	1.898	1.5515	1.1038	1.2794	1.9688	1.2088	1.2047	0.8038	0.8561	0.9801	1.0031	0.8553	1.3886	1.1438	1.0157	1.0656	1.3098	2.3753	1.3559
CNTNAP3B	0.1249	0.2224	0.1435	0.6569	0.2949	0.2973	0.4458	0.2373	0.3837	1.3951	0.2055	0.3116	0.5431	0.4221	0.1505	0.535	0.2281	0.4302	0.2216	0.6389	0.791	0.4336	0.5868	0.5541	1.5019	0.2372
CNTNAP3P2	0.0178	0.0555	0.0188	0.0501	0.1058	0.0458	0.0602	0.1285	0.144	0.034	0.0946	0.0823	0.1613	0.1365	0.0454	0.0659	0.0432	0.0793	0.041	0.0464	0.1256	0.0596	0.3637	0.0388	0.0679	0.0659
CNTNAP4	0.0082	0.0281	0.0427	0.0688	0.1143	0.2064	0.0767	0.0505	0.0393	0.0402	0.0568	0.0521	0.0353	0.0252	0.0198	0.0856	0.0742	0.0381	0.1157	0.0741	0.0442	0.0923	0.1566	0.4099	0.4904	0.271
CNTNAP5	0.0045	0.0162	0.0269	0.0474	0.1647	0.0843	0.0446	0.044	0.0464	0.0267	0.0333	0.0111	0.0218	0.0147	0.0114	0.0833	0.1662	0.2884	0.1366	0.109	0.2296	0.0908	0.14	0.227	0.3867	0.2055
CNTRL	0.2819	0.2784	0.1797	0.4076	0.2049	0.2516	0.3408	0.3508	0.2644	0.5223	0.2576	0.373	0.2926	0.3336	0.1931	0.1535	0.2702	0.1473	0.2388	0.264	0.3008	0.1698	0.9602	0.338	0.4154	0.2924
CNTROB	0.1458	0.1315	0.1047	0.1102	0.2832	0.246	0.1646	0.1276	0.1467	0.1824	0.1125	0.1353	0.4102	0.1365	0.1007	0.1239	0.1784	0.1359	0.1224	0.0896	0.1253	0.0822	0.2028	0.163	0.2612	0.1942
COA1	0.6433	0.4667	0.4397	0.414	0.4942	0.6448	0.3649	0.4935	0.5285	0.4445	0.4552	0.6956	0.887	0.648	0.5712	0.3459	0.5276	0.3685	0.2907	0.275	0.4093	0.3823	0.3191	0.2534	0.6698	0.6135
COA3	1.7307	1.1491	0.9584	0.9792	0.9532	1.4857	0.8644	1.2309	1.642	1.0147	1.1584	0.9377	1.4639	0.9982	0.7695	0.9399	0.8439	0.8105	0.715	0.8204	1.2141	0.9473	0.7939	0.6454	1.4776	1.5008
COA4	0.5407	0.447	0.3406	0.3144	0.6765	0.608	0.2742	0.6098	0.5971	0.4754	0.3445	0.5199	0.5684	0.4178	0.3983	0.2839	0.4746	0.4933	0.2526	0.2084	0.4825	0.2993	0.2658	0.2259	0.559	0.4202
COA5	0.5726	0.6131	0.4538	0.3784	0.537	0.6933	0.5996	0.5749	0.8932	0.4817	0.5096	0.37	0.5426	0.4586	0.2793	0.3106	0.3619	0.3505	0.2755	0.2329	0.3698	0.3286	0.2882	0.2568	0.4926	0.3973
COA6	0.3833	0.2681	0.2913	0.2713	0.3588	0.2651	0.2671	0.3806	0.521	0.3694	0.2603	0.2799	0.3503	0.2587	0.1948	0.2295	0.2547	0.2027	0.187	0.2207	0.346	0.2553	0.2948	0.1975	0.4472	0.3903
COA7	0.1269	0.1178	0.0988	0.1063	0.1771	0.1404	0.0821	0.1246	0.1298	0.1153	0.1303	0.1018	0.1232	0.1379	0.0784	0.1054	0.1565	0.126	0.1578	0.1339	0.2319	0.2159	0.1941	0.1201	0.3824	0.1946
COASY	0.1986	0.1823	0.1662	0.1874	0.1946	0.1792	0.1643	0.2015	0.1681	0.2515	0.1892	0.1542	0.2323	0.2125	0.1218	0.1324	0.1311	0.1131	0.1653	0.097	0.2206	0.1145	0.1202	0.1713	0.3351	0.1436
COBL	0.0449	0.1186	0.1102	0.2252	0.2012	0.2001	0.1152	0.3244	1.6009	0.1699	0.2151	0.2132	0.1349	0.4104	0.4379	0.4742	0.2615	0.3382	0.139	0.4811	0.285	0.3276	0.4832	0.1202	0.6102	0.1028
COBLL1	0.007	1.528	1.3118	0.0673	0.0461	0.1088	0.0664	0.0454	0.1399	0.0805	0.078	0.0162	0.1319	0.043	0.016	0.0205	0.0614	0.0309	0.0624	0.0724	0.0374	0.0378	0.0607	0.0254	0.0882	0.019
COCH	0.0287	0.0492	0.0342	0.0615	0.0463	0.0872	0.047	0.0484	0.1217	0.0681	0.0545	0.0571	0.1156	0.0633	0.0289	0.1341	0.1214	0.2762	0.0839	0.1161	0.3797	0.2368	0.0985	0.1501	0.1494	0.1752
COG1	0.1057	0.1122	0.1065	0.0959	0.087	0.1428	0.108	0.1226	0.1241	0.0943	0.1005	0.1333	0.1932	0.0836	0.0956	0.1381	0.1437	0.0903	0.0819	0.077	0.1561	0.0831	0.1133	0.147	0.3282	0.2187
COG2	0.1728	0.1479	0.11	0.2066	0.2429	0.2208	0.2436	0.2806	0.5888	0.2262	0.315	0.1602	0.3857	0.1616	0.2125	0.1191	0.1615	0.1447	0.1352	0.1189	0.1634	0.1279	0.1673	0.0887	0.2075	0.1426
COG3	0.1468	0.1437	0.1152	0.1121	0.1725	0.1429	0.1413	0.1751	0.1695	0.1279	0.1843	0.0962	0.2856	0.0918	0.1162	0.1028	0.2124	0.2654	0.0794	0.1585	0.3872	0.2098	0.2043	0.1528	0.3144	0.1904
COG4	0.5549	0.4149	0.4539	0.3671	0.4374	0.3746	0.4638	0.425	0.7288	0.5683	0.4073	0.3032	0.4162	0.3239	0.2472	0.2749	0.4605	0.2793	0.3153	0.2954	0.4816	0.3082	0.2832	0.2444	0.7953	0.4703
COG5	0.1397	0.1759	0.0943	0.2345	0.2278	0.1795	0.1563	0.296	0.156	0.2278	0.2003	0.2224	0.3327	0.1743	0.1365	0.076	0.2468	0.2336	0.1523	0.1276	0.1745	0.083	0.1269	0.1507	0.206	0.231
COG6	0.1346	0.1206	0.1033	0.1096	0.1306	0.149	0.1137	0.1829	0.1403	0.2025	0.1891	0.1675	0.163	0.1511	0.0815	0.1357	0.1103	0.1845	0.0906	0.0931	0.3605	0.1811	0.1337	0.1436	0.346	0.1663
