	Sz	mEndo	mPeric	mMgl	mEpend	mRgl3	mRgl2	mRgl1	mNProg	mNbM	mNbML2	mNbL2	mNbDA	mDA0	mDA1	mDA2	mNbML1	mNbML3	mNbL1	mNbML4	mRN	mGaba1b	mGaba1a	mGaba2	mSert	mOMTN	mNbML5
Axin2	0.0341	0.4323	0.4388	0.0524	0.1352	0.1646	0.1127	0.2446	0.2538	0.0708	0.0584	0.1745	0.0928	0.1211	0.0665	0.1092	0.0953	0.0997	0.051	0.1223	0.1603	0.0538	0.0511	0.1242	0.0755	0.1815	0.0734
Axl	0.008	0.0656	2.2393	0.8658	0.1274	0.8135	0.4119	0.3264	0.3071	0.0345	0.0441	0.1153	0.0326	0.1117	0.0717	0.0709	0.0375	0.0588	0.0759	0.0827	0.0541	0.0404	0.0511	0.0256	0.0419	0.0697	0.0351
Azi1	0.1354	0.1052	0.1033	0.3637	0.3317	0.116	0.1052	0.1914	0.1717	0.1899	0.093	0.2495	0.1407	0.3882	0.2108	0.1032	0.1244	0.3261	0.2879	0.22	0.1886	0.1231	0.1576	0.2795	0.1541	0.2908	0.1481
Azi2	0.3509	0.2867	0.4026	0.2976	0.426	0.2363	0.2655	0.2062	0.1837	0.1639	0.1518	0.374	0.1588	0.2141	0.2868	0.2263	0.2177	0.3759	0.3289	0.6176	0.505	0.4042	0.2729	0.6359	0.4841	0.582	0.1987
Azin1	2.9376	1.7809	1.4025	1.9195	2.2738	1.9936	2.3607	1.8817	1.5236	1.0329	1.0822	1.4269	1.0261	1.2762	1.9562	1.6031	1.4463	2.3589	2.5684	2.8055	2.7944	1.9387	1.7928	4.2096	2.4114	2.5096	1.0937
B130006D01Rik	0.2659	0.5085	0.8597	0.5443	0.5855	0.5373	0.3787	0.6308	0.3839	0.3428	0.2594	1.4109	0.5841	0.7606	0.8645	0.4754	0.3633	2.5173	0.5774	0.5673	0.5119	0.6626	0.456	0.7048	1.4647	1.4133	0.3529
B130024G19Rik	0.2821	0.3979	3.4312	0.6356	0.6752	1.2586	1.0807	0.7781	0.3595	0.4018	0.848	0.4549	0.6876	0.4783	0.5627	0.5715	0.4451	0.601	0.6241	0.651	0.6334	0.4588	0.5143	0.8935	1.963	0.8182	0.7761
B130034C11Rik	0.0098	0.0361	0.049	0.0365	0.0724	0.0946	0.0402	0.0687	0.0397	0.053	0.0121	0.0301	0.0158	0.0484	0.0772	0.0733	0.0397	0.0973	0.2371	0.1282	0.1456	0.0548	0.048	0.0607	0.1402	0.0681	0.0561
B230118H07Rik	0.7157	0.4842	0.4747	0.5387	1.9227	0.6102	0.7801	0.8912	0.4992	0.3532	0.328	0.3626	0.2875	0.3277	0.5196	0.7407	0.4268	0.5336	0.5605	0.6199	0.892	0.5408	0.4065	0.6879	0.6304	0.7971	0.3055
B230119M05Rik	0.6785	1.3332	1.5968	1.1176	2.6534	0.9989	0.8874	0.9276	0.7588	0.832	0.7	1.4983	0.7492	0.8712	1.0349	2.1715	0.8305	1.0902	1.0949	1.1469	1.2141	0.876	0.9222	1.4632	1.1024	1.0983	1.7415
B230206H07Rik	0.6902	0.969	1.5734	1.2318	1.1141	1.105	0.9519	0.9453	0.8485	0.8233	0.7239	0.9608	0.7835	1.9169	1.0442	1.0349	0.9304	1.075	1.1195	1.254	1.2015	0.9409	0.9775	3.6718	1.098	1.9444	1.6463
B230208H11Rik	0.6819	1.0514	2.0619	1.0306	0.9786	0.9304	0.8151	0.844	0.6829	0.6797	0.6363	0.8011	0.6833	0.7945	0.9357	1.8028	0.7913	1.7091	1.0273	1.1061	1.1246	0.8325	2.9528	1.268	2.7171	0.9995	0.7264
B230209E15Rik	0.0123	0.1491	0.0676	0.3142	0.3503	0.1232	0.0248	0.0755	0.0181	0.0497	0.0463	0.0284	0.0657	0.1082	0.3277	0.3851	0.0581	0.1047	0.0569	0.0596	0.1218	0.2442	0.2897	0.9073	0.6205	0.1292	0.1893
B230209K01Rik	0.0848	0.2658	0.3345	0.46	0.4996	16.8913	7.5205	2.265	0.4709	0.295	0.2487	0.2904	0.2835	0.3955	0.4234	1.2175	0.3301	0.4267	0.4372	0.4976	0.4184	0.3415	0.3951	0.2992	0.3823	0.3644	0.3361
B230216G23Rik	0.179	0.2786	0.3065	0.4913	0.5179	0.453	0.3258	0.5872	0.4926	0.5631	0.2352	0.5425	0.2848	0.7098	0.46	0.428	0.5876	2.3118	0.4558	0.5223	0.8194	1.3653	0.3924	1.5522	0.9774	1.2062	0.2962
B230216N24Rik	0.1004	0.1055	0.1067	0.1105	0.1997	0.2757	0.1517	0.0814	0.0695	0.1891	0.1289	0.2838	0.269	0.4644	0.2482	0.3483	0.3948	1.1219	0.1464	0.8218	0.1481	0.2623	0.3147	0.3726	0.4621	0.2927	0.0726
B230217C12Rik	0.0379	0.0378	0.0802	0.0497	0.0759	0.1637	0.1291	0.0392	0.028	0.0363	0.0395	0.1487	0.057	0.0929	0.1171	0.1071	0.0548	0.132	0.0903	0.1544	0.1421	0.1933	0.1158	0.3103	0.1247	0.1178	0.0524
B230217O12Rik	0.2075	0.4897	0.5251	0.6855	0.4424	0.3775	0.5138	0.2797	0.2517	0.234	0.1843	0.6787	0.2333	0.4773	0.3564	0.3505	0.668	0.5909	0.4095	2.4269	0.3841	0.416	0.5014	0.6451	0.4439	1.1064	0.2397
B230219D22Rik	1.5767	1.098	1.2133	1.0107	1.6904	0.9075	0.8833	0.9081	0.796	0.5832	0.5615	1.2696	0.5811	0.6394	0.8881	1.2512	0.7625	1.2931	1.0602	1.1928	1.2082	1.0819	0.904	2.4193	1.7814	1.3029	0.7955
B230312C02Rik	0.4907	0.6725	0.6312	0.8461	0.8133	1.5872	0.664	0.6903	0.7416	0.574	0.8086	1.6486	0.5505	0.675	0.8212	0.756	0.6064	0.8529	0.8605	3.5389	0.8514	0.6724	2.5032	1.0045	0.7849	1.5749	1.0287
B230323A14Rik	0.0139	0.1944	0.06	0.1051	0.4581	0.4572	0.8162	0.2806	0.1997	0.0606	0.1723	0.057	0.0501	0.1794	0.1049	0.1098	0.0613	0.1062	0.1238	0.1233	0.2896	0.1263	0.0808	0.154	0.1342	0.0658	0.3008
B230378P21Rik	0.3032	6.9976	0.7987	1.2973	0.6564	0.623	0.49	0.5305	0.552	0.4589	0.3639	0.8923	0.8347	0.4855	0.63	0.6098	0.4749	0.6529	0.657	0.7247	1.2758	1.0204	0.5465	0.8038	0.5888	0.5988	0.4607
B2m	0.0369	6.2612	2.0718	15.4539	0.2058	0.5899	1.1	0.452	0.3181	0.1239	0.0478	0.0487	0.0809	0.0636	0.1639	0.1014	0.0585	0.0638	0.2561	0.0753	0.1603	0.0784	0.1351	0.0968	0.2075	0.2497	0.0343
B330016D10Rik	0.0189	0.0284	0.0343	0.0734	0.1503	0.1256	0.0211	0.066	0.0696	0.069	0.039	0.0695	0.0278	0.0282	0.0771	0.0358	0.0566	0.039	0.0467	0.1159	0.0805	0.0514	0.0682	0.0546	0.0743	0.1076	0.0989
B3galnt1	0.5709	0.3591	0.3017	0.4907	0.4513	0.5036	0.464	0.3295	0.3007	0.2306	0.2928	0.5432	0.41	0.3685	0.7855	0.3876	0.3908	0.7132	0.9355	1.3231	1.8332	0.8107	1.0422	1.7057	1.625	1.4707	0.3583
B3galnt2	0.0821	0.0765	0.1207	0.0942	0.1288	0.0912	0.0749	0.0967	0.145	0.0508	0.0623	0.2045	0.0777	0.0759	0.1731	0.1033	0.0739	0.155	0.1438	0.2521	0.139	0.1525	0.0776	0.1548	0.1179	0.0829	0.0761
B3galt1	0.1948	0.1347	0.1237	0.1768	0.3476	0.3815	0.1946	0.2435	0.1463	0.1374	0.2889	0.4784	0.2637	0.2473	0.6281	1.118	0.1929	0.3452	0.2116	0.4408	0.3986	0.2647	0.1555	0.5707	0.3477	0.292	0.2198
B3galt2	0.1786	0.1451	0.1046	0.174	0.1904	0.1662	0.1491	0.1149	0.1006	0.1631	0.158	0.4117	0.3309	0.2175	0.1536	0.1686	0.1573	0.3668	0.2453	0.4815	0.3874	0.3714	0.4408	1.1618	0.3427	0.2999	0.3831
B3galt4	0.2784	0.4227	1.3896	2.6957	1.9451	0.6205	0.4454	0.5017	0.856	0.8155	0.6387	0.8744	0.4029	0.4824	0.596	0.5923	0.4267	2.2149	0.602	0.6587	1.2193	0.4654	0.5025	1.0585	0.5521	0.5303	0.4319
B3galt5	0.009	0.0269	0.4119	0.2497	0.1676	0.1294	0.0397	0.0339	0.0299	0.0311	0.0121	0.06	0.016	0.0468	0.122	0.0708	0.0551	0.0318	0.13	0.0405	0.0814	0.0332	0.0999	0.2177	0.1346	0.282	0.0197
B3galt6	0.1969	0.1885	0.1105	0.2467	0.3074	0.1848	0.2105	0.1541	0.1563	0.1965	0.0952	0.1832	0.1811	0.2305	0.1637	0.2705	0.2225	0.2261	0.4747	0.3374	0.3416	0.1831	0.2763	0.5952	0.4102	0.4155	0.1416
B3galtl	0.0645	0.2459	0.2233	0.2161	0.3246	0.2128	0.1703	0.2204	0.2412	0.0576	0.0623	0.271	0.1027	0.244	0.1552	0.1319	0.0941	0.2272	0.0689	0.2033	0.114	0.1078	0.0788	0.3287	0.1992	0.182	0.0743
B3gat1	0.6759	0.4351	0.3782	0.4752	0.4678	0.3982	0.7788	0.404	0.3894	0.2649	0.4995	1.5022	0.8354	0.7147	1.0886	0.8771	0.5027	0.8153	0.6061	0.5924	0.8875	0.6191	0.9	1.6259	1.0144	0.6029	0.5876
B3gat2	0.037	0.043	0.0453	0.108	0.1398	0.0832	0.0818	0.0713	0.0754	0.0331	0.0488	0.0954	0.0313	0.1007	0.2536	0.1987	0.0975	0.1388	0.0867	0.1555	0.1077	0.2129	0.0499	0.4172	0.151	0.2099	0.0389
B3gat3	0.3722	0.2585	0.1882	0.3415	0.2771	0.3077	0.2365	0.2093	0.2167	0.1704	0.2252	0.3348	0.254	0.3869	0.2241	0.3173	0.333	0.495	0.3021	0.3939	0.688	0.373	0.2454	0.688	0.4036	0.5229	0.2048
B3gnt1	0.5329	0.4783	0.3282	0.4409	0.7468	0.7103	0.5802	0.3096	0.2753	0.1938	0.2354	0.293	0.2868	0.2614	0.4623	0.2795	0.2768	0.5757	0.396	0.6213	0.5263	0.4563	0.6382	1.4448	0.8158	0.7968	0.2146
B3gnt2	0.0072	1.0351	0.9635	0.2049	0.2421	0.1349	0.0734	0.0283	0.0259	0.0249	0.0172	0.1111	0.0478	0.0761	0.0611	0.0568	0.0308	0.1164	0.0634	0.0595	0.0414	0.0284	0.0368	0.1043	0.0589	0.0567	0.0603
B3gnt4	0.1558	0.5096	0.3414	0.5188	12.2044	0.4714	1.0851	2.0491	1.0017	0.3262	0.2701	0.3355	0.6782	0.9173	0.487	0.4946	0.3644	0.4633	1.1615	0.543	0.4779	0.3602	0.4039	0.371	0.7113	0.4149	0.7644
B3gnt5	0.4966	0.3055	0.3332	0.3702	0.3591	0.296	0.6569	0.5873	0.574	0.4853	0.2334	0.8241	0.3604	0.2563	0.3312	0.3275	0.5905	0.4962	0.6012	0.9179	0.9014	0.5736	0.499	0.8651	0.4708	0.5857	0.3457
B3gnt7	0.2285	0.2564	0.8102	0.6625	0.4716	0.4153	0.7199	0.4474	0.2643	0.2525	0.2008	0.6023	0.2403	0.4932	0.7448	0.6891	0.2964	0.4221	0.4339	0.4592	1.2201	0.4181	0.755	0.8279	0.9151	0.8028	0.2636
B3gnt9	0.2789	0.6166	0.8609	0.5056	0.5806	0.9382	0.3653	0.3864	0.7148	0.3163	0.2693	0.359	0.5201	0.3673	0.468	0.4509	0.3507	0.5167	0.9976	0.5296	0.8476	0.6243	0.7527	2.6204	1.2426	0.599	0.3346
B3gntl1	0.0324	0.1306	0.0934	0.1675	0.3136	0.1169	0.1251	0.1913	0.1738	0.073	0.0585	0.114	0.0441	0.101	0.1018	0.1677	0.0563	0.0916	0.1215	0.1164	0.0822	0.1061	0.0693	0.1818	0.0785	0.1508	0.0328
B430010I23Rik	0.0375	0.0592	0.6021	0.144	0.4664	0.4829	0.1291	0.1408	0.1639	0.1318	0.1718	0.2693	0.268	0.1822	0.1396	0.1357	0.0839	0.2386	0.2872	0.2938	0.1229	0.0778	0.1012	0.2112	0.143	0.1343	0.2364
B430319G15Rik	0.5157	0.5854	0.7858	0.7873	0.7647	2.5009	1.123	1.3997	0.7876	0.8271	0.6458	0.8734	0.4702	0.59	0.7079	0.6881	0.562	0.7715	0.8003	0.8565	2.8237	0.8891	0.9441	0.8208	1.0178	0.7318	0.5314
B4galnt1	0.1204	0.086	0.0927	0.2714	0.1143	0.126	0.0953	0.1239	0.0832	0.0647	0.1305	0.1871	0.0801	0.1817	0.2716	0.4543	0.0814	0.4171	0.2434	0.4699	0.5228	0.2171	0.2725	0.5776	0.3588	0.4553	0.1402
B4galnt2	0.8959	2.7172	1.2001	1.4326	1.2975	1.2281	1.248	1.1817	1.2127	1.0848	1.0202	1.1965	1.0594	1.1586	1.2984	1.2243	1.2129	1.4834	1.3068	1.5824	1.636	1.2421	1.2	2.4586	1.4341	1.5091	1.112
B4galnt3	0.8248	1.4085	1.2421	1.2229	1.1579	1.0842	1.9466	0.9534	0.781	0.7956	0.6851	1.5086	1.3463	0.8542	1.0063	2.087	0.8841	1.2439	1.0967	1.2829	1.271	0.9192	0.9493	1.4432	1.5319	1.2212	1.442
B4galnt4	0.1999	0.1501	0.1119	0.1628	0.1809	0.414	0.1443	0.1935	0.1444	0.1642	0.1414	0.2312	0.0982	0.2228	0.2535	0.2768	0.2028	0.2502	0.4126	0.2687	0.3938	0.2665	0.512	0.405	0.3343	0.3828	0.1784
B4galt1	0.0298	0.6849	0.3613	1.5351	0.3247	0.4063	0.1978	0.1691	0.2485	0.0762	0.0597	0.0698	0.045	0.0686	0.061	0.0565	0.0355	0.149	0.1253	0.1098	0.1626	0.0364	0.0433	0.0726	0.1654	0.0938	0.0322
B4galt2	0.5791	0.3864	0.3225	0.4206	0.4002	0.7445	0.7202	0.5157	0.3008	0.2896	0.2926	0.7461	0.3656	0.259	0.5124	0.3327	0.4461	0.664	0.5969	0.6654	0.6331	0.5195	0.4384	1.452	0.8715	0.8306	0.5431
B4galt3	1.1424	0.6971	0.529	0.7918	0.734	0.8802	0.9431	0.6294	0.5786	0.4574	0.4437	0.814	0.8123	0.7446	0.8074	0.6862	0.5993	1.2593	0.8894	0.9952	1.9031	1.1185	0.7275	1.442	1.2148	1.325	0.6611
B4galt4	0.0731	0.1385	0.0969	0.0821	0.2593	0.2042	0.1649	0.1842	0.0698	0.0458	0.0438	0.1608	0.0803	0.0468	0.1137	0.1524	0.0701	0.0827	0.0934	0.1637	0.1259	0.1131	0.1128	0.1871	0.129	0.1077	0.1315
B4galt5	0.9893	1.0102	0.4673	0.6864	0.6494	0.9382	0.6332	0.621	0.4957	0.3991	0.357	0.5739	0.5608	0.4864	0.9034	1.2393	0.6123	0.902	0.644	0.9045	1.5614	0.733	1.0354	1.8954	1.3029	1.3718	0.5784
B4galt6	0.5696	0.4235	0.3522	0.6158	0.6736	0.7599	0.4461	0.3673	0.3046	0.2469	0.2207	0.7288	0.3133	0.358	0.4233	0.7742	0.5682	0.5552	0.5766	0.6216	0.5228	0.4861	0.4047	1.846	0.9721	0.6133	0.4548
B4galt7	0.0967	0.1032	0.0653	0.1097	0.1453	0.1622	0.1015	0.0644	0.0645	0.0687	0.1039	0.0726	0.1243	0.1526	0.0897	0.1607	0.1716	0.2539	0.2719	0.4076	0.3157	0.1852	0.1089	0.2597	0.2429	0.1562	0.1342
B630005N14Rik	0.3944	0.2952	0.28	0.6178	0.6201	0.435	0.4168	0.4973	0.2458	0.3318	0.1678	0.6935	0.202	0.2956	0.3288	0.4393	0.4461	0.3058	0.4801	0.3295	0.4015	0.2909	0.2725	0.4728	0.3562	0.3665	0.1836
B630019K06Rik	0.3921	0.255	0.3305	0.2969	0.3556	0.3935	0.2851	0.2495	0.2265	0.1833	0.2271	0.7722	0.5463	0.7426	0.4288	0.5259	0.4328	0.7486	0.256	0.6337	0.4106	0.4311	0.3606	1.2392	1.1121	0.4785	0.3854
B830017H08Rik	0.1175	0.2276	0.4506	0.2877	0.3727	0.2867	0.3614	0.1992	0.1297	0.1728	0.1232	0.4349	0.1631	0.2065	0.2853	0.9203	0.3502	0.4912	0.3182	0.3064	0.7077	0.9877	0.3945	1.3991	0.3452	0.4746	0.5445
B930003M22Rik	0.3182	0.8564	1.2546	0.6455	0.7029	0.6293	1.138	0.4951	0.5451	0.7692	0.3545	1.8639	0.4017	0.4773	0.6303	0.5924	0.8894	0.6405	0.6857	0.7182	0.681	0.47	0.996	0.734	0.5742	2.5095	0.7738
B930041F14Rik	0.0172	0.0904	0.0839	0.0563	0.0594	0.1567	0.0346	0.0234	0.0401	0.0195	0.0679	0.1855	0.0814	0.0406	0.0677	0.0994	0.0214	0.0827	0.0754	0.1113	0.1168	0.0783	0.0911	0.1921	0.0672	0.1614	0.0927
B930059L03Rik	0.7288	1.8821	0.7761	1.0922	1.8882	1.607	0.8102	0.8314	0.8874	1.1436	0.591	1.1911	0.6828	0.7453	0.9692	0.9257	0.7619	1.0805	1.0407	1.1644	1.5639	0.7906	0.8811	2.4865	1.3869	1.4348	0.6976
B930092H01Rik	0.9793	1.1674	1.0144	1.3526	1.3331	1.2712	1.0989	1.7743	1.4663	0.9774	0.861	1.7811	1.6821	0.9697	1.2464	1.1086	2.0526	1.2819	1.2778	1.3912	2.0982	1.036	1.1097	1.4058	1.3199	1.4155	0.8929
B9d1	0.2943	0.1947	0.2252	0.2318	3.1362	1.2374	0.8582	0.9622	0.7663	0.3869	0.2874	0.2039	0.3619	0.2555	0.252	0.2365	0.2151	0.2783	0.2699	0.3249	0.2935	0.3219	0.3004	0.3509	0.3032	0.3195	0.1321
B9d2	0.0243	0.0458	0.0395	0.0726	0.1237	0.1211	0.0615	0.0816	0.1283	0.0502	0.0366	0.0728	0.1379	0.0686	0.0678	0.0692	0.0708	0.0415	0.0463	0.0793	0.131	0.0698	0.0646	0.0884	0.1429	0.1257	0.0504
BB019430	0.0061	0.0121	0.0296	0.031	0.0624	0.0862	0.0816	0.0184	0.0221	0.016	0.0612	0.0274	0.076	0.0223	0.1181	0.0348	0.0539	0.0628	0.0414	0.0763	0.0275	0.0718	0.0481	0.0591	0.1141	0.0679	0.0572
BB031773	0.6271	0.9653	1.8921	1.111	1.0954	1.0728	1.0092	1.0268	0.8951	0.8437	0.7739	2.0164	0.8129	0.9505	1.0627	2.4823	0.9649	1.1974	1.1131	1.2641	1.2696	1.0033	1.0404	1.2222	2.2086	1.1987	0.8145
BB123696	0.4294	0.8021	1.6776	0.9867	0.9364	0.9038	0.8122	0.8463	1.1751	0.6992	0.6027	6.9089	0.6728	0.7855	0.9261	0.8725	0.8162	0.9688	0.8772	1.0927	1.0255	1.7024	0.8183	0.8871	0.9242	0.9794	0.7381
BB557941	0.581	1.0447	0.7334	2.0014	1.039	0.9562	1.418	0.8356	2.2161	1.321	1.0629	1.3857	0.6635	1.5089	0.9115	0.9119	0.7935	1.05	1.0017	1.0551	1.0476	0.8131	0.8137	0.971	0.9989	0.9798	0.715
BC002163_loc1	3.9031	2.4337	1.7711	2.44	2.1972	2.0008	2.33	2.0975	1.8785	1.3664	1.3301	1.8159	1.3739	1.4597	2.1148	2.0437	1.715	3.0884	2.7424	2.9465	3.5965	2.5668	2.5773	4.329	3.1641	4.5044	1.4472
BC002163_loc2	3.1581	1.8957	1.6558	1.9995	1.6909	1.5711	1.7853	1.7742	1.5748	1.1048	1.4705	1.4761	1.5047	1.4768	1.8902	1.4458	1.5876	2.9288	3.2946	4.3796	3.7476	2.3076	1.5477	3.9273	2.9029	4.7737	1.3512
BC003331	0.4127	0.4531	0.2294	0.9242	0.4469	0.7098	0.4435	0.2585	0.3615	0.1686	0.1729	0.3136	0.2489	0.2185	0.4338	0.5051	0.2069	0.3502	0.4026	0.3872	0.4342	0.4541	0.399	0.4693	0.3678	0.456	0.2222
BC003965	0.443	0.3045	0.2284	0.3683	0.3481	0.3511	0.3715	0.3677	0.3535	0.2359	0.1894	0.4364	0.1868	0.2467	0.2867	0.2796	0.2978	0.3306	0.3109	0.6511	0.3933	0.5106	0.2382	0.408	0.4351	0.3946	0.2112
BC004004	0.4635	0.3954	0.366	0.3635	0.3418	0.3731	0.2798	0.3348	0.258	0.1988	0.3004	0.2912	0.2054	0.1904	0.6403	0.4633	0.2157	0.5059	0.312	0.5895	0.4208	0.5637	0.2952	0.6536	0.6315	0.654	0.2779
BC005537	0.9262	0.6007	0.5345	0.8434	0.7552	0.5835	0.5947	0.5064	0.4724	0.4643	0.349	0.7662	0.3909	0.395	0.5313	0.551	0.4684	0.6405	0.571	0.7356	0.9197	0.7121	0.669	0.8746	0.8075	0.832	0.4216
BC005561	0.7822	0.7513	0.5302	0.9347	0.8781	0.5689	0.7174	0.6972	0.7296	0.4474	0.4907	1.6106	0.3533	0.6055	0.5083	0.7231	0.5074	0.555	0.6339	0.6195	0.7727	0.5836	0.4306	1.0038	0.6437	1.025	0.5989
BC005624	0.9363	0.5759	0.4497	0.8203	0.7024	0.6575	0.5833	0.586	0.5993	0.4165	0.4633	0.4967	0.3904	0.3974	0.6582	0.5816	0.5718	0.919	0.8713	0.935	1.3241	0.6337	0.6274	0.9853	0.8579	1.0027	0.3932
BC005764	1.6236	0.9727	0.746	1.0921	1.0074	1.2182	0.8943	0.9389	1.0407	2.4842	2.8244	3.4762	2.1997	2.7512	3.4773	2.2766	2.5811	2.7695	3.979	4.2031	3.1234	2.1751	2.2305	3.2148	3.4931	2.8973	2.4905
BC006965	0.4414	0.5246	0.7838	0.7894	1.7523	0.6836	1.8195	1.3252	0.7687	0.4705	0.6209	1.4585	0.7447	0.5275	0.6705	1.1797	0.5297	0.7026	0.7213	0.8291	0.7661	0.56	1.083	1.0927	0.9551	0.7059	0.5116
BC016423	0.297	0.2672	0.2733	0.3877	0.2418	0.3251	0.1903	0.3885	0.2171	0.2156	0.2357	0.4605	0.187	0.2283	0.2506	0.2247	0.3312	0.3605	0.3096	0.4625	0.4875	0.3677	0.4004	0.4773	0.3286	0.2818	0.2686
BC017158	0.0449	0.1095	0.1553	0.2053	0.5533	0.0984	0.0861	0.1066	0.1182	0.08	0.0762	0.1364	0.0917	0.1139	0.2251	0.055	0.0709	0.0768	0.066	0.0687	0.0927	0.1029	0.0836	0.1995	0.1618	0.1132	0.1418
BC017643	0.3013	0.2685	0.2715	0.4241	0.3888	0.2168	0.2176	0.205	0.1979	0.3273	0.2765	0.1649	0.2279	0.1356	0.2585	0.2038	0.1723	0.2581	0.2791	0.328	0.4773	0.2099	0.23	0.5219	0.3655	0.5872	0.1591
BC018242	0.2346	0.1596	0.1928	0.2547	0.2717	0.2331	0.1919	0.158	0.1248	0.1284	0.2153	0.5812	0.1978	0.2825	0.2481	0.6065	0.3779	0.3808	0.2615	0.4179	0.5519	0.497	0.4376	1.2192	0.8727	0.517	0.1866
BC018507	1.2108	0.7872	0.8799	0.9359	0.8135	1.3047	0.7662	0.6391	0.6313	0.4826	0.4874	1.9544	0.7772	1.27	0.7963	1.3294	0.8347	1.1314	1.3189	1.0918	1.7734	1.0457	1.0987	1.9442	1.0275	1.2041	0.9451
BC020402	0.0326	0.0831	0.0664	0.0913	0.1319	0.4018	0.2101	0.0694	0.0814	0.1155	0.097	0.0722	0.1042	0.1083	0.2694	0.158	0.1357	0.2906	0.1796	0.1747	0.0723	0.0829	0.1055	0.1555	0.1236	0.1149	0.047
BC021614	1.1687	2.9774	1.2152	1.5718	1.4488	1.4312	1.3187	1.3666	1.1671	1.055	0.9918	1.9517	1.0331	2.322	1.3905	1.3172	1.1796	1.6176	1.5236	1.6341	1.761	1.2643	1.3715	2.2217	1.6106	1.6469	1.0795
BC021767	0.0918	0.279	0.2043	0.3831	0.2721	0.2182	0.2082	0.1446	0.1389	0.2103	0.0975	0.8773	0.1226	0.1646	0.4413	0.218	0.15	0.2132	0.7328	1.0686	0.32	0.5302	0.2924	0.8938	0.2692	0.2422	0.1974
BC021785	0.7878	0.961	1.4067	0.9816	1.031	0.9151	0.969	1.065	0.782	0.6353	0.7227	2.297	0.6388	1.1885	0.8825	0.885	1.0202	1.0571	0.9829	1.146	1.0192	1.1572	1.2369	1.0507	1.7046	1.2393	0.6388
BC021891	0.923	1.0999	1.1068	1.654	2.0901	0.9821	1.0781	1.1048	1.0096	1.0047	0.772	1.0597	0.6577	0.7339	0.9929	0.8701	0.7521	1.0865	1.037	1.1998	1.1506	0.8186	1.1845	1.6326	1.3308	1.25	1.0015
BC022687	0.0393	0.0685	0.0494	0.0714	0.472	0.2107	0.1097	0.0548	0.1476	0.0665	0.0254	0.1687	0.053	0.048	0.1189	0.1206	0.0777	0.0509	0.089	0.1196	0.1868	0.0537	0.0978	0.176	0.0568	0.0669	0.0398
BC023829	0.1275	0.1618	0.1008	0.2146	1.1163	0.3267	0.2118	0.1922	0.1073	0.0835	0.1119	0.0915	0.0647	0.125	0.1556	0.1906	0.1333	0.2249	0.1085	0.1778	0.1576	0.136	0.1014	0.264	0.1461	0.1598	0.0862
BC024139	0.0119	0.0343	0.0456	0.1182	0.1017	0.0679	0.4112	0.7908	0.2292	0.0883	0.0711	0.0531	0.0249	0.0872	0.0618	0.0549	0.0322	0.1703	0.0728	0.0649	0.2047	0.1026	0.0802	0.1004	0.0353	0.0353	0.1035
BC024582	0.5985	1.0929	0.7503	4.2559	1.0197	0.9236	0.7883	0.7877	0.924	0.6898	0.598	1.2688	1.1348	0.7579	0.8553	2.0697	2.9059	1.003	0.9749	1.0651	1.0552	0.7955	0.8334	0.9573	0.9642	1.461	0.6892
BC024978	0.5792	0.7043	0.8502	1.2044	1.4704	2.5422	0.624	0.6216	0.7999	0.8459	0.6127	0.8038	0.4976	0.5837	1.3088	0.7035	0.5917	1.2836	0.8048	0.9222	1.2349	0.6227	1.591	1.0666	1.0536	0.8114	0.5376
BC025920	0.1415	0.1902	0.2175	0.3541	0.4068	0.3474	1.3523	0.6121	0.3815	0.5805	0.2547	0.8	0.3398	0.2499	0.3268	1.1773	0.4023	0.3398	0.7744	1.1716	1.1257	0.4036	0.2509	0.294	0.3807	0.2741	0.2154
BC026585	0.0112	0.0872	0.0206	0.6075	0.3595	0.1978	0.1646	0.0394	0.0609	0.0804	0.0429	0.0307	0.0168	0.0266	0.0425	0.077	0.0233	0.0376	0.1493	0.0868	0.1647	0.0229	0.0785	0.0256	0.0778	0.1117	0.0372
BC026590	0.0364	0.0578	0.1131	0.1615	0.2981	0.0509	0.1228	0.079	0.1121	0.0697	0.0507	0.1673	0.0341	0.0744	0.0513	0.0468	0.1012	0.0507	0.0575	0.0588	0.1115	0.0687	0.0757	0.2036	0.1263	0.1787	0.0985
BC027072	0.5028	1.8684	0.8972	1.0523	1.0477	0.976	0.9093	0.9455	1.4101	0.813	0.7273	4.9108	0.7683	0.9002	1.0299	0.9686	0.8283	1.0862	1.004	1.1666	1.1313	0.9438	0.8729	1.1015	1.0975	1.0717	0.788
BC027231	0.1457	0.6063	0.4557	0.8156	0.3819	0.3094	0.1904	1.1301	0.5367	0.1923	0.219	0.6634	0.1776	0.4122	0.3237	0.295	0.3346	0.3024	0.3433	0.6291	0.4459	0.3538	0.2456	0.583	0.3885	0.2497	0.3428
BC028528	0.0059	4.9559	2.3704	1.2346	0.1177	0.1767	0.0566	0.0334	0.0323	0.0324	0.0406	0.065	0.027	0.0444	0.0645	0.0666	0.0383	0.0657	0.075	0.0768	0.052	0.034	0.045	0.042	0.0369	0.0316	0.0327
